learningPointNumber,dateModified,categories,learningPoint
1,28/12/21,Example,Just an example learning point
2,28/12/21,Haematology,"Vitamin B12 is an essential vitamin occurring mainly in animal products such as meat, dairy, eggs, and fish but may also be found in fortified bread."
3,28/12/21,Haematology,Vitamin B12 is also called cobalamin.
4,28/12/21,Haematology,"Vitamin B12 has essential roles in the body such as nucleotide and amino acid production, and removal of toxic substances such as homocysteine and methylmalonic acid."
5,28/12/21,Haematology,Accumulation of excess methylmalonic acid leads to irreversible nerve damage.
6,28/12/21,Haematology,Vitamin B12 absorption summarised: protein bound in nature → binds to R binder protein (secreted by salivary glands) in stomach → binds to intrinsic factor (made by gastric parietal cells) in the duodenum → absorbed at terminal ileum.
7,28/12/21,Haematology,Pernicious anaemia is the most common cause of B12 deficiency.
8,28/12/21,Haematology,"Symptoms range from asymptomatic and mild neuropsychiatric symptoms such as paraesthesia and cognitive decline, to more severe and irreversible features such as pancytopenia and subacute combined degeneration."
9,28/12/21,Haematology,Investigations primarily show a macrocytic anaemia with hyper-segmented neutrophils on a blood film.
10,28/12/21,Haematology,Anti-intrinsic factor antibodies are used to diagnose pernicious anaemia.
11,28/12/21,Haematology,Treatment includes parenteral vitamin B12 replacement.
12,28/12/21,Haematology,Pernicious anaemia is associated with a 2-3 fold increase in gastric adenocarcinoma.
13,28/12/21,Haematology,Sickle cell anaemia is an autosomal recessive disease characterised by progressive sickling of cells.
14,28/12/21,Haematology,"Occurs due to a substitution mutation of the 6th amino acid of the beta-globin gene on chromosome 11, where glutamic acid is replaced by valine."
15,28/12/21,Haematology,"Most commonly seen in sub-Saharan Africa – potentially due to the protection it offers against malaria. Other areas include South-East Asia, Middle East, and Indian subcontinent."
16,28/12/21,Haematology,"Features can range from those resulting from occlusion of blood vessels (e.g.,  vaso-occlusive crisis, splenic sequestration, and ischemic events such as strokes) to those due to the inflammatory response to the cells (e.g., acute chest syndrome)."
17,28/12/21,Haematology,"Patients often have features of hyposplenism due to recurrent splenic infarcts and splenic atrophy, leading to recurrent infection. As such, NICE recommends pneumococcal vaccine every 5 years. Prophylactic antibiotics (e.g., penicillin) may also be given."
18,28/12/21,Haematology,Diagnosis in the UK can be picked up antenatally or during the newborn heel prick test if the mother declined screening.
19,28/12/21,Haematology,"Diagnosis later in life involves the absence of HbA during electrophoresis, visualisation of sickle cells on blood film, or genetic testing."
20,28/12/21,Haematology,"Acute management should be treated as a medical emergency, and generally include supportive measures such as analgesia, antibiotics, fluid replacement, folic acid supplementation, and blood transfusions."
21,28/12/21,Haematology,"Long-term management could include patient education and avoidance of triggers, hydroxyurea to reduce painful episodes, bone marrow transplantation, folic acid supplementation, and in severe cases, bone marrow transplant."
22,28/12/21,Ophthalmology,"Cataracts are a gradual clouding of the lens, with associated pigmentation and reduced visual acuity."
23,28/12/21,Ophthalmology,"Symptoms are usually gradual and may include reduced visual acuity, photophobia, and glare/halos which are worse at night."
24,28/12/21,Ophthalmology,"Risk factors can include patient factors (such as age or being female) and medical history (further divided into local, systemic, and iatrogenic causes)."
25,28/12/21,Ophthalmology,Pathophysiology involves gradual crosslinking of proteins secondary to oxidative stress.
26,28/12/21,Ophthalmology,"Cataracts can be of different types, including nuclear sclerotic, cortical or subcapsular."
27,28/12/21,Ophthalmology,"Cataracts are the most common cause of reversible blindness worldwide, and prevalence increases dramatically with age."
28,28/12/21,Ophthalmology,"Cataracts is a clinical diagnosis although other investigations can be helpful to consider other causes, especially diabetes."
29,28/12/21,Ophthalmology,"Management is conservative in the early stages, but definitive management is surgical, which should not only be considered based on visual acuity but also on the quality of the patient’s life."
30,28/12/21,Ophthalmology,Certain drugs such as tamsulosin and anticoagulants should be avoided prior to surgery for cataracts to reduce the risk of complications.
31,28/12/21,Ophthalmology,"Complications of cataract surgery can include cystoid macular oedema, retinal detachment, and most commonly, posterior capsular opacification."
32,28/12/21,Ophthalmology,"Glares and halos are a useful symptom to explore in cataract, and may be more commonly seen in PSC."
33,28/12/21,Ophthalmology,"Paediatric cases of cataracts may be secondary to rubella, which is important to detect early."
34,28/12/21,Ophthalmology,Children must be treated surgically as soon as possible to prevent deprivation amblyopia and squint.
35,28/12/21,Ophthalmology,Blepharitis is a common condition and can affect any age group (but is more common in those >50).
36,28/12/21,Ophthalmology,"Symptoms typically include burning or itchiness, crusting, eyelids sticking together and having a foreign body sensation."
37,28/12/21,Ophthalmology,"Staphylococcus blepharitis is more common in women than men, unlike other forms of blepharitis which are equally as prevalent in either gender."
38,28/12/21,Ophthalmology,"Anterior blepharitis is typically due to infection, as opposed to posterior blepharitis which is secondary to meibomian gland dysfunction."
39,28/12/21,Ophthalmology,"Risk factors may be split up into those affecting the patient, their medical history, iatrogenic and environmental factors."
40,28/12/21,Ophthalmology,Visual impairment is not typically a feature of blepharitis but other examination findings such as erythematous eyelids may suggest the diagnosis.
41,28/12/21,Neurology,Epidural haematomas most commonly affect young adults and adolescents involved in blunt/penetrating trauma and/or acceleration-deceleration injuries.
42,28/12/21,Neurology,"The presentation of EDH is acute and occurs in 3 phases. In phase 1, there is a loss of consciousness following injury (usually to the side of the head). In phase 2, there is a lucid interval where consciousness returns (close) to baseline temporarily (~30 minutes). In phase 3, there is clinical deterioration (e.g., signs of raised ICP, possible herniation symptoms, neurological deficits, loss of consciousness again)."
43,28/12/21,Neurology,An epidural haematoma is a collection of blood that occurs between the inner skull and the periosteal dura mater.
44,28/12/21,Neurology,"An EDH forms due to damage to the middle meningeal artery. However, other structures (anterior ethmoidal artery and venous sinuses) can also cause an EDH."
45,28/12/21,Neurology,EDH is very commonly associated with skull fractures - the most common site of fracture being the pterion (a region where suture lines join) which lies near the temples of the head.
46,28/12/21,Neurology,The most important approach to a patient presenting to A&E acutely with trauma is an ABCDE primary survey.
47,28/12/21,Neurology,"Raised ICP and brain herniation can result in the following red flag symptoms/signs: headache, altered consciousness, progressive drowsiness, oculomotor palsy with dilated pupils, decorticate/decerebrate posturing and Cushing’s triad (bradycardia, hypertension, respiratory depression)."
48,28/12/21,Neurology,"Complications in EDH occur due to the large risk of brain herniation. EDH is usually caused by arterial bleeds which expand quickly, as well as generally causing more compression due to its site of bleeding. Brain herniation increases the risk of long term neurological deficit, vegetative state and death."
49,28/12/21,Neurology,Check airway for obstructions and perform tracheal intubation early in patients with a rapidly dropping GCS or GCS lower than 8. “GCS 8 to Intubate”
50,28/12/21,Neurology,"Blood tests on initial investigations are used to identify underlying causes of EDH and aid management, these include: FBCs, LFTs, U&Es, Clotting studies, blood grouping and cross-match."
51,28/12/21,Neurology,"Urgent management of raised ICP involves: SHHOP: Sedation +/- Analgesics, Hyperosmolar fluid therapy (Hypertonic saline), Hyperventilation / mechanical ventilation until PaCO2 is lowered to 25-35mmHg, Osmotic diuretics (IV mannitol), Position - elevating the head to 30 degrees"
52,28/12/21,Ophthalmology,"Investigations are not usually required in cases of blepharitis, but it may be helpful to order swabs in recurrent cases and check for systemic disease if other symptoms are suggestive of this."
53,28/12/21,Ophthalmology,Management revolves around conservative approaches and medical therapy where appropriate
54,28/12/21,Ophthalmology,"Prognosis is generally good, but it is important to assess for complications such as recurrent blepharitis and corneal ulceration."
55,28/12/21,Ophthalmology,"Patients may present with a new onset sudden visual loss, flashes, floaters and reduced visual acuity."
56,28/12/21,Ophthalmology,"Retinal detachments are one of the most common eye emergencies, typically presenting around the age of 60 years."
57,28/12/21,Ophthalmology,"Clinical examination may identify RAPD, absence of red reflex and fundoscopic changes."
58,28/12/21,Ophthalmology,"Retinal detachments are characterised by the separation of the retina and RPE, allowing fluid to enter the subretinal space."
59,28/12/21,Ophthalmology,Detachments may be rhegmatogenous (involving a tear) or non-rhegmatogenous (no tear involved and is further classified into tractional or exudative).
60,28/12/21,Ophthalmology,"Risk factors may relate to the patient (such as myopia, family history or age) or their medical history (previous detachment, diabetic retinopathy, and eye trauma)."
61,28/12/21,Ophthalmology,"In cases of suspected retinal detachemnt, refer for same day assessment if there are visual changes or features on fundoscopy."
62,28/12/21,Ophthalmology,Location of the detachment is upside-down and left-right of the area of sight loss.
63,28/12/21,Ophthalmology,Investigations such as CT/MRI orbit and B-scan ultrasonography may be useful in cases of trauma.
64,28/12/21,Ophthalmology,"Where possible, aim to prevent detachments via prophylactic measures such as retinopexy/cryopexy and good management of underlying disease."
65,28/12/21,Ophthalmology,"Definitive management is largely through surgical interventions including gas tamponade, retinopexy, scleral buckle, retinotomy or vitrectomy."
66,28/12/21,Ophthalmology,"Endophthalmitis is an important complication of surgical interventions, which requires urgent treatment."
67,28/12/21,Ophthalmology,Complications of detachment can include higher risk of future detachments in the same or contralateral eye and permanent sight loss.
68,28/12/21,Ophthalmology,"Conjunctivitis is described as inflammation of the conjunctiva, which is the transparent lining covering the front surface of the eye."
69,28/12/21,Ophthalmology,"Conjunctivitis typically presents as a red, sore eye with discharge present in the case of bacterial disease"
70,28/12/21,Ophthalmology,Bacterial and allergic conjunctivitis present with ‘papillae’ as opposed to follicles seen in viral cases.
71,28/12/21,Ophthalmology,"Common bacterial causes include streptococcus pneumoniae, staphylococcus aureus and H influenzae"
72,28/12/21,Ophthalmology,Common causes of ophthalmia neonatorum include chlamydia (most common) and Neisseria gonorrhoea.
73,28/12/21,Ophthalmology,Infective conjunctivitis involves an inflammatory response via interleukins and lymphocytes as part of any normal infective pathophysiology.
74,28/12/21,Ophthalmology,Allergic conjunctivitis involves IgE crosslinking and degranulation of mast cells and presents as ‘allergic facies’.
75,28/12/21,Ophthalmology,It is important to assess for regional lymph nodes in the case of URTI associated conjunctivitis.
76,28/12/21,Ophthalmology,Investigations are not always offered although corneal staining and PCR testing may be useful for diagnosis and further management.
77,28/12/21,Ophthalmology,"Referral to ophthalmology should be considered after 7-10 days of first-line treatment not working, suspected herpetic infection or ophthalmia neonatorum."
78,28/12/21,Ophthalmology,Most cases of infective conjunctivitis are self-limiting and do not warrant further treatment
79,28/12/21,Ophthalmology,"Severe bacterial conjunctivitis may require antibiotics, typically chloramphenicol or fusidic acid where the patient is pregnant."
80,28/12/21,Ophthalmology,Neisseria gonorrhoea causes hyperacute conjunctivitis (12-24 hours) and may present with preauricular lymphadenopathy as well as corneal ulcers
81,28/12/21,Ophthalmology,Neisserial conjunctivitis in adults is treated with a single dose of oral ceftriaxone
82,28/12/21,Ophthalmology,If a child has chlamydial/neisserial conjunctivitis then sexual abuse must be ruled out!
83,28/12/21,Ophthalmology,"Viral and allergic conjunctivitis can be difficult to distinguish. In viral conjunctivitis there is often a history of recent URTI and conjunctival follicles are seen on examination. In allergic conjunctivitis, you can expect a background of atopy alongside a history of seasonal symptoms, severe itching and chemosis (conjunctival swelling)."
84,28/12/21,Ophthalmology,Adenovirus is the most common causative organism in viral conjunctivitis
85,28/12/21,Ophthalmology,"Risk factors for infective conjunctivitis include contact with infected individuals, one eye affected, immunocompromised, and contact lens use."
86,28/12/21,Ophthalmology,Contact lenses wearers can develop acanthamoeba keratitis.
