questionNumber,type,dateModified,categoryPath,learningPointNumbers,sectionLetter,stem,question,option1,option2,option3,option4,option5,explanation1,explanation2,explanation3,explanation4,explanation5,correctOption
1,active,11/01/2022,"Example,Example",1,a,First stem of three,Is this a question?,No,Yes,Maybe,Frogs,Don't ask,This is incorrect,It is indeed a question!,Depending on what?,Frogs are cool bubt no,Excuse me?,2
1,,,,1,b,Second stem of three,What section is this?,fourth,last,first,second,eighteenth,Its not the fourth option,Nor is it the last,Not the first!,Correct! This is the second,Too high,4
1,,,,1,c,Third stem of three,What isn't the MedBakery,Phenomenal,Mediocre,Gorgeous,Splendid,Exquisite,Accurate description,Absolutely incorrect,Fair assessment ,Couldn't agree more,100% facts,2
2,active,11/01/2022,Haematology,2,a,,Which of the following is not a good source of vitamin B12?,Eggs,Red meat,Chicken,Leafy greens,Fortified bread and cereals, Most animal products are a good source of vitamin B12. Eggs also contain high levels of vitamin D,Most animal products are a good source of vitamin B12. Red meat is also a good source of iron,Most animal products are a good source of vitamin B12, Correct. This is a good source of folate but not B12,Fortified bread and cereals contain a good amount of B12. This is a public health initiative and other added substances may include vitamin D,4
2,,,,"4,6",b,,Which of the following is not involved in B12 absorption?,R Binder protein,Pepsin,Homocysteine,Intrinsic Factor,Stomach acid,R binder protein binds to vitamin B12 in the stomach to transport it to the small intestines,Pepsis is needed to break down protein and release B12 in the stomach,Correct. Homocysteine is removed and neutralised by B12. It is not used in the absorption of B12,Intrinsic factor binds to B12 in the small intestines to help it be absorbed in the terminal ileum,Stomach acid helps to break down protein and release the B12 bound to the protein in the stomach,3
2,,,,"6,10,12",c,,"Based on your understanding of B12 absorption, which of the following people are not at a high risk of vitamin B12 deficiency?","A 45-year-old man with severe Crohn’s colitis, having had a terminal ileum resection",A 64-year-old man who has had a left-hemicolectomy to treat bowel adenocarcinoma,"A 56-year-old lady with chronic dyspepsia, who has been using proton pump inhibitors for 10 years",A 57-year-old bariatric patient who has had gastric bypass surgery,A 45-year-old lady with vitiligo and anti-intrinsic factor antibodies,"B12 is primarily absorbed in the terminal ileum. A terminal ileal resection involves removal of the terminal ileum (e.g. classically in Crohn’s disease).  As such, a terminal ileum resection is a big risk factor for B12 deficiency.","Correct. The ascending colon is involved in absorbing water from stools. However, it is not involved in the absorption of B12.","The use of PPIs can suppress stomach acid production, leading to less stomach acid production. Stomach acid is needed to release protein-bound B12.","A gastric bypass surgery bypasses the stomach, leading to less stomach acid being made. Stomach acid is needed to release protein-bound B12.","Pernicious anaemia is the most common cause of vitamin B12 deficiency, and is associated with other autoimmune conditions such as vitiligo. The presence of anti-intrinsic factor antibodies leads to an intrinsic factor deficiency, meaning B12 cannot be absorbed in the terminal ileum.",2
2,,,,"5,8",d,, Which of the following is least associated with B12 deficiency?,Pica syndrome,Lemon-yellow tinge,Loss of vibration and proprioception,Dementia and depression,Gastric cancer,"Correct. Pica syndrome is the urge to eat strange, inedible things such as dirt or foam. This occurs due to iron deficiency, not B12 deficiency.",The lemon-yellow tinge occurs due to the haemolysis of macrocytic cells as they pass through the spleen.,The loss of vibration and proprioception senses can occur due to permanent nerve damage. This can result from the buildup of the neurotoxic substance methylmalonic acid,"Dementia and depression are common features of B12 deficiency, as well as loss of colour vision, due to nerve damage",Pernicious anaemia is associated with a 2-3 fold increase in the risk of gastric adenocarcinoma,1
2,,,,9,e,,What type of anaemia does B12 deficiency cause?,Macrocytic hyperchromic megaloblastic,Macrocytic hypochromic non-megaloblastic,Microcytic hypochromic non-megaloblastic,Macrocytic hypochromic megaloblastic,Microcytic hyperchromic megaloblastic,B12 deficiency leads to a macrocytic hypochromic anaemia which is megaloblastic. Hyperchromia is not a feature.,"B12 deficiency leads to a macrocytic hypochromic anaemia which is megaloblastic. Non megaloblastic causes of macrocytic anaemia alcohol, liver disease, pregnancy and hypothyroidism.","B12 deficiency leads to a macrocytic hypochromic anaemia which is megaloblastic. It is not microcytic. Causes of microcytic anaemia include iron deficiency, thalassaemia, anaemia of chronic disease and sideroblastic anaemia.",Correct. B12 deficiency leads to a macrocytic hypochromic anaemia which is megaloblastic.,"B12 deficiency leads to a macrocytic hypochromic anaemia which is megaloblastic.  It is not microcytic, and hyperchromia is not a feature.",4
3,active,11/01/2022,Haematology,8,a,"A 65-year-old lady with a history of Grave’s disease presents to the GP complaining of tingling in her feet and hands. She admits that she has been feeling significant more down recently and has been forgetting where she leaves her keys and to lock the door. \n
Examination shows that she has a lemon-yellow tinge on her skin, glossitis, and sub-conjunctival pallor. The doctor carries out a neurovascular examination. 
",What is he likely to find?,"Loss of vibration, proprioception, pain, and temperature senses in both arms and legs extending up to the torso",Unilateral loss of coordination in the legs and past-pointing,Loss of pain and temperature sensation in the arms in a cape-like distribution,"Loss of pain and temperature sensations on one leg, and motor, vibration, and proprioception in the other",Loss of vibration and proprioception senses in the feet and a positive Romberg’s test ,These are the characteristic findings in Guillain-Barre syndrome (GBS). GBS refers to a post-infective peripheral demyelinating polyneuropathy. It classically presents after an infective episode (e.g. GI campylobacter infection) which then progresses to loss of motor function and sensation. This pattern of function loss starts at the distal extremities and progresses proximally to affect the limbs. ,"This would suggest an isolated cerebellar lesion. The cerebellum is involved in balance and coordination, thus cerebellar lesions may present with dysdiadochokinesia (loss of rapid alternating movement), ataxia, nystagmus, intention tremor and staccato speech. This history is pointing more towards B12 deficiency.","This is the classical loss of sensation in syringomyelia, where the formation of a cyst in the spinal cord stretches the sensory fibres for pain and temperature sensation leading to a cape-like distribution of sensory loss.","This is the characteristic pattern for Brown-Sequard syndrome, also known as hemisection of the spinal cord. The patient classically gets ipsilateral loss of vibration and motor function and contralateral loss of pain and temperature sensation. ","Correct. In B12 deficiency, there is degeneration of the posterior and lateral columns of the spinal cord, leading to loss of vibration and proprioception.",5
3,,,,9,b,,"The GP detects loss of vibration and proprioception senses in the legs. He orders an FBC, blood film, as well as some other tests. What is the blood film likely to show?",Howell-Jolly bodies,Hyper-segmented neutrophils ,Pappenheimer bodies,Smear cells,Auer rods,This is a feature of hyposplenism.,Correct. B12 deficiency leads to hyper-segmented neutrophils.,This is a feature of hyposplenism.,This is a feature of chronic lymphocytic leukaemia (CLL).,This is a feature of AML.,2
